EXPEDIENTE;TIPO;ACTIVIDAD;REGIÓN;PROVINCIA;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
182301;ANÓNIMA;G4641.21;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;8;23419,77;22854,36;66077,52;750,28
41601;ANÓNIMA;G4651.02;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;8;23317,02;12773,84;151500;0
122647;ANÓNIMA;G4759.04;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;22134,82;16461,19;0;0
166407;ANÓNIMA;G4649.24;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;22032,91;12661,75;0;0
116042;ANÓNIMA;G4630.21;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;21668,58;2573,37;0;0
173375;RESPONSABILIDAD LIMITADA;G4630.93;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;21613,93;18858,21;23575,35;37,88
708901;ANÓNIMA;G4730.01;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;21163,7;800;0;0
139061;RESPONSABILIDAD LIMITADA;G4741.13;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;6;21131,7;9718,22;53095,56;1471,82
121072;ANÓNIMA;G4630.93;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;4;20913,81;9022,6;0;0
700369;RESPONSABILIDAD LIMITADA;G4690.00;SIERRA;BOLIVAR;MICROEMPRESA;SOCIETARIO;5;20814,04;-2185,96;32263;1694,16
112913;ANÓNIMA;G4761.03;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;20661,76;20661,76;0;0
176498;RESPONSABILIDAD LIMITADA;G4661.03;SIERRA;CAÑAR;PEQUEÑA;SOCIETARIO;12;20000;20000;0;0
97835;ANÓNIMA;G4641.21;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;7;19996,64;15925,13;3754,1;19,92
142901;ANÓNIMA;G4620.12;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;19879,33;5929,03;22425;5221,83
177878;RESPONSABILIDAD LIMITADA;G4652.02;SIERRA;PICHINCHA;PEQUEÑA;SOCIETARIO;6;19686,28;3921,28;122757,49;909,43
303406;RESPONSABILIDAD LIMITADA;G4610.07;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;3;18942,92;15656,5;21069,76;-3356,26
127512;RESPONSABILIDAD LIMITADA;G4772.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;17939,1;17939,1;0;0
303298;RESPONSABILIDAD LIMITADA;G4719.00;SIERRA;PICHINCHA;PEQUEÑA;SOCIETARIO;3;16791,92;9382,41;131196,72;3104,63
168228;ANÓNIMA;G4651.02;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;3;16646,34;7477,16;34286,36;5659,04
93399;ANÓNIMA;G4659.11;SIERRA;PICHINCHA;PEQUEÑA;SOCIETARIO;4;16638,99;14704,37;74723,57;-5619,81
306961;ANÓNIMA;G4791.00;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;6;16367,01;10618,65;100749,55;8221,5
113903;ANÓNIMA;G4772.05;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;16157,45;685,01;0;0
308328;ANÓNIMA;G4649.24;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;16087,5;-1761,56;14110,45;-2761,56
177983;ANÓNIMA;G4630.91;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;15892,31;14095,75;12000;2546,69
148782;RESPONSABILIDAD LIMITADA;G4669.11;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;15583,38;2089,87;0;0
717449;ANÓNIMA;G4741.13;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;15395,53;1179,97;22830;379,97
715102;RESPONSABILIDAD LIMITADA;G4610.09;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;3;14883,81;14775,81;33187,42;-224,19
156446;RESPONSABILIDAD LIMITADA;G4659.93;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;14593,52;1345,99;60932,54;545,99
176367;ANÓNIMA;G4711.01;SIERRA;AZUAY;PEQUEÑA;SOCIETARIO;14;14403,1;3088,65;133846,72;-4015,56
306541;ANÓNIMA;G4649.24;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;14193,85;10212,32;3380;3380
43401;ANÓNIMA;G4520.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;13392,57;8409,41;0;0
126317;ANÓNIMA;G4711.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;3;13100;1923,32;3304,39;443,44
719748;ANÓNIMA;G4620.19;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;13083,26;1330,46;44273,82;530,46
127938;ANÓNIMA;G4741.11;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;3;13073,63;4320,53;3452;811,94
69741;ANÓNIMA;G4663.13;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;4;12962,51;6971,72;130625,78;565,47
145215;ANÓNIMA;G4630.33;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;4;12688,35;6416,66;613138,15;-188290,29
160425;ANÓNIMA;G4661.03;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;12476,84;6708,42;0;0
719644;ANÓNIMA;G4752.04;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;12088,1;2429,1;4740,26;0
177859;ANÓNIMA;G4530.00;COSTA;SANTA ELENA;MICROEMPRESA;SOCIETARIO;4;12081,15;9582,06;44736,94;-1774,85
